Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Allonocardiopsis	opalescens	I10A-01259	Allonocardiopsis opalescens	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Kangiella	sediminilitoris	BB-Mw22	Kangiella sediminilitoris	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Luteolibacter	yonseiensis	EBTL01	Luteolibacter yonseiensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Castellaniella	hirudinis	E103	Castellaniella hirudinis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Olleya	namhaensis	WT-MY15	Olleya namhaensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Dyella	ginsengisoli	3046T	Dyella ginsengisoli	NA	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Mesorhizobium	qingshengii	CCBAU 33460	Mesorhizobium qingshengii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Dokdonella	kunshanensis	DC-3	Dokdonella kunshanensis	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Pseudomonas	punonensis	LMT03	Pseudomonas punonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Jatrophihabitans	endophyticus	S9-650	Jatrophihabitans endophyticus	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fontibacter	ferrireducens	SgZ-2	Fontibacter ferrireducens	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sinomicrobium	oceani	SCSIO 03483	Sinomicrobium oceani	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Arcticibacter	svalbardensis	MN12-7	Arcticibacter svalbardensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Paenibacillus	taihuensis	THMBG22	Paenibacillus taihuensis	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pedobacter	panaciterrae	Gsoil 042T	Pedobacter panaciterrae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Massilia	yuzhufengensis	Y1243-1	Massilia yuzhufengensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Mycetocola	zhadangensis	ZD1-4	Mycetocola zhadangensis	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marinococcus	tarijensis	SR-1	Marinococcus tarijensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Undibacterium	terreum	C3	Undibacterium terreum	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Tumebacillus	flagellatus	GST4	Tumebacillus flagellatus	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Photorhabdus	luminescens	AM7	Photorhabdus luminescens	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Winogradskyella	litorisediminis	DPS-8	Winogradskyella litorisediminis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Endobacter	medicaginis	M1MS02	Endobacter medicaginis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agromonas	oligotrophica	LMG 10732	Agromonas oligotrophica	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Emticicia	ginsengisoli	Gsoil 085	Emticicia ginsengisoli	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Micromonospora	sonneratiae	274745	Micromonospora sonneratiae	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Phaseolibacter	flectens	LMG 2186 	Phaseolibacter flectens	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asinibacterium	lactis	LCJ02	Asinibacterium lactis	yes	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Naasia	aerilata	5116S-4	Naasia aerilata	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Rudaibacter	terrae	5GHs34-4	Rudaibacter terrae	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Angustibacter	aerolatus	7402J-48	Angustibacter aerolatus	yes	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Pontimonas	salivibrio	CL-TW6	Pontimonas salivibrio	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paenibacillus	typhae	xj7	Paenibacillus typhae	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Weissella	diestrammenae	ORY33	Weissella diestrammenae	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enterococcus	diestrammenae	ORL-24	Enterococcus diestrammenae	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chitinophaga	ginsengisoli	Gsoil 052T	Chitinophaga ginsengisoli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Gibbsiella	papilionis	LEN33	Gibbsiella papilionis	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Gallaecimonas	xiamenensis	3-C-1	Gallaecimonas xiamenensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paramoritella	sediminis	MEBiC06500	Paramoritella sediminis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Litorilinea	aerophila	PRI-4131	Litorilinea aerophila	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Mariniflexile	jejuense	SSK2-3	Mariniflexile jejuense	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mucilaginibacter	sabulilitoris	SMS-12	Mucilaginibacter sabulilitoris	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Roseovarius	sediminilitoris	M-M10	Roseovarius sediminilitoris	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Snodgrassella	alvi	wkB2	Snodgrassella alvi	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Streptomyces	harbinensis	NEAU-Da3	Streptomyces harbinensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Paenibacillus 	Paenibacillus pocheonensis	Gsoil 1138	Paenibacillus pocheonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Gillisia	marina	CBA3202	Gillisia marina	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Mucilaginibacter	jinjuensis	YC7004	Mucilaginibacter jinjuensis	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Micromonospora	wenchangensis	2602GPT1-05	Micromonospora wenchangensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Rhodotorula	portillonensis	Pi2	Rhodotorula portillonensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Acinetobacter	nectaris	SAP 763.2	Acinetobacter nectaris	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acinetobacter	boissieri	SAP 284.1	Acinetobacter boissieri	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parvularcula	dongshanensis	SH25	Parvularcula dongshanensis	yes	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Prevotella	jejuni	CD3‰Û_:‰Û_28	Prevotella jejuni	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Ferrimonas	pelagia	CBA4601	Ferrimonas pelagia	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Cohnella	thermotolerans	CCUG 47242	Cohnella thermotolerans	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	pocheonensis	Gsoil 1138	Paenibacillus pocheonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Halomonas	zincidurans	B6	Halomonas zincidurans	yes	NA	yes	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Hazenella	coriacea	23436	Hazenella coriacea	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Pontibacter	ramchanderi	LP43	Pontibacter ramchanderi	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Litorisediminicola	beolgyonensis	BB-MW24	Litorisediminicola beolgyonensis	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Arenitalea	lutea	P7-3-5	Arenitalea lutea	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Cloacibacillus	porcorum	CL-84	Cloacibacillus porcorum	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Modestobacter	roseus	KLBMP 1279	Modestobacter roseus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dyadobacter	tibetensis	Y620-1	Dyadobacter tibetensis	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thioclava	dalianensis	DLFJ1-1	Thioclava dalianensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Pseudomonas	guguanensis	CC-G9A	Pseudomonas guguanensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Aureimonas	ferruginea	CC-CFT023	Aureimonas ferruginea	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Aureimonas	rubiginis	CC-CFT034	Aureimonas rubiginis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methylobacterium	tarhaniae	N4211	Methylobacterium tarhaniae	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Mycobacterium	fragae	HF8705	Mycobacterium fragae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes	NA
Rubrivirga	marina	SAORIC-28	Rubrivirga marina	yes	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Sungkyunkwania	multivorans	PDB-16	Sungkyunkwania multivorans	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinokineospora	bangkokensis	44EHW	Actinokineospora bangkokensis	yes	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Streptomyces	panacagri	Gsoil 519	Streptomyces panacagri	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Aliifodinibius	roseus	YIM D15	Aliifodinibius roseus	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Aliifodinibius	sediminis	YIM J21	Aliifodinibius sediminis	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Flavobacterium	limnosediminis	JC2902	Flavobacterium limnosediminis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Mangrovimonas	yunxiaonensis	LYYY01	Mangrovimonas yunxiaonensis	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Comamonas	jiangduensis	YW1	Comamonas jiangduensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Acidovorax	wautersii	NF 1078	Acidovorax wautersii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Ornithinimicrobium	tianjinense	B2	Ornithinimicrobium tianjinense	yes	NA	NA	NA	NA	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA
Fretibacter	rubidus	JC2236	Fretibacter rubidus	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Microlunatus	ginsengisoli	Gsoil 633T	Microlunatus ginsengisoli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Hirschia	litorea	M-M23	Hirschia litorea	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Halopelagius	fulvigenes	YIM 94188	Halopelagius fulvigenes	NA	NA	NA	NA	NA	yes	NA	yes	yes	NA	NA	yes	NA	NA	NA
Streptomyces	wuyuanensis	FX61	Streptomyces wuyuanensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Gluconacetobacter	medellinensis	LMG 1693	Gluconacetobacter medellinensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Halolamina	salifodinae	WSY15-H1	Halolamina salifodinae	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Halopiger	salifodinae	KCY07-B2	Halopiger salifodinae	yes	yes	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA
Sphingobacterium	caeni	DC-8	Sphingobacterium caeni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Flavobacterium	hauense	BX12	Flavobacterium hauense	NA	yes	yes	yes	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Chryseobacterium 	bernardetii	NCTC 13530	Chryseobacterium bernardetii	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Chryseobacterium	carnis	NCTC 13525	Chryseobacterium carnis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Kribbella	gingsengisoli	Gsoil 001	Kribbella gingsengisoli	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Chryseobacterium	lactis	NCTC 11390	Chryseobacterium lactis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Chryseobacterium	nakagawai	NCTC 13529	Chryseobacterium nakagawai	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	thermocopriae	SgZ-7	Bacillus thermocopriae	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Hyphomicrobium	nitrativorans	NL23	Hyphomicrobium nitrativorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Acinetobacter	kookii	11-0202	Acinetobacter kookii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asticcacaulis	solisilvae	CGM1-3EN	Asticcacaulis solisilvae	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bhargavaea	ullalensis	ZMA 19	Bhargavaea ullalensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Brevibacterium	jeotgali	SJ5-8	Brevibacterium jeotgali	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Nocardioides	marinquilinus	CL-GY44	Nocardioides marinquilinus	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Halolamina	salina	WSY15-H3	Halolamina salina	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kribbella 	Kribbella ginsengisoli	Gsoil 001	Kribbella ginsengisoli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Vibrio	hemicentroti	AlyHP32	Vibrio hemicentroti	yes	yes	yes	NA	NA	yes	yes	NA	yes	NA	yes	yes	NA	NA	NA
Glaciimonas	singularis	A2-57	Glaciimonas singularis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Oceanobacillus	chungangensis	CAU 1051	Oceanobacillus chungangensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kordia	aquimaris	CC-AMZ-301	Kordia aquimaris	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomicrobium	marinum	CC-AMZ-30M	Sphingomicrobium marinum	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingomicrobium	astaxanthinifaciens	CC-AMO-30B	Sphingomicrobium astaxanthinifaciens	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Fictibacillus	phosphorivorans	Ca7	Fictibacillus phosphorivorans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Reyranella	soli	KIS14-15	Reyranella soli	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Bacillus	thermotolerans	SgZ-8	Bacillus thermotolerans	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Aeromicrobium 	ginsengisoli	Gsoil 098	Aeromicrobium ginsengisoli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Azospirillum	humicireducens	SgZ-5	Azospirillum humicireducens	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Pseudomonas	guangdongensis	SgZ-6	Pseudomonas guangdongensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	composti	SgZ-9	Bacillus composti	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	thermophilus	SgZ-10	Bacillus thermophilus	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Roseomonas	aerophila	7515T-07	Roseomonas aerophila	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Actinoplanes	siamensis	A-T 6646	Actinoplanes siamensis	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Geodermatophilus	taihuensis	3-wff-81	Geodermatophilus taihuensis	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	yes
Sphingomicrobium	flavum	CC-AMZ-30N	Sphingomicrobium flavum	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Salinibacillus	xinjiangensis	J4T	Salinibacillus xinjiangensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Salinibacillus	xinjiangensis	J4	Salinibacillus xinjiangensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Nocardioides	ginsengisoli	G soil 1124T	Nocardioides ginsengisoli	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Salinibacillus 	xinjiangensis	J4T	Salinibacillus xinjiangensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Salinibacillus	Xinjiangensis	NA	Salinibacillus xinjiangensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Salinibacillus	xinjiangenesis	J4T	Salinibacillus xinjiangenesis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Salinibacillus	xinjiangensis	J4T 	Salinibacillus xinjiangensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Salinibacillus	 xinjiangensis	J4T	Salinibacillus xinjiangensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Flaviramulus	ichthyoenteri	Th78	Flaviramulus ichthyoenteri	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kordia	antarctica	IMCC3317	Kordia antarctica	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliimonas	saccharivorans	L2-4	Heliimonas saccharivorans	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Actinopolyspora	lacussalsi	TRM 40139	Actinopolyspora lacussalsi	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Endozoicomonas	euniceicola	EF212	Endozoicomonas euniceicola	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Endozoicomonas	gorgoniicola	PS125	Endozoicomonas gorgoniicola	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
