Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Actinobacillus	Anseriformium	F66	Actinobacillus anseriformium	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methylotenera	Versatilis	301	Methylotenera versatilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Pantoea	rwandensis	LMG 26275	Pantoea rwandensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pantoea	wallisii	LMG 26277	Pantoea wallisii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cryptococcus	thermophilus	LTH 6662	Cryptococcus thermophilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Derxomyces	Amylogenes	ZJJ-890	Derxomyces amylogenes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Derxomyces	bambusicola	GT-475	Derxomyces bambusicola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Methylobacterium	persicinum	002-165	Methylobacterium persicinum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Derxomyces	corylopsis	ZJJ-394	Derxomyces corylopsis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Cryptococcus	cyanovorans	CBS 11948	Cryptococcus cyanovorans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Microvirga	lupini	Lut6	Microvirga lupini	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Kerstersia	similis	LMG 5890	Kerstersia similis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylobacterium	tardum	RB677	Methylobacterium tardum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paraferrimonas	sedimenticola	Mok-106T	Paraferrimonas sedimenticola	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Vibrio	breoganii	 RD 15.11T	Vibrio breoganii	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Paenibacillus	anaericanus	MH21T	Paenibacillus anaericanus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mesorhizobium	ciceri	WSM1271	Mesorhizobium ciceri	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Algoriphagus	machipongonensis	PR1	Algoriphagus machipongonensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Verminephrobacter 	eiseniae	EF01-2	Verminephrobacter eiseniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	sporothermodurans	LMG 17668	Bacillus sporothermodurans	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Winogradskyella	rapida	SCB36T	Winogradskyella rapida	yes	NA	yes	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Psychromonas	ingrahamii	37	Psychromonas ingrahamii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Burkholderia 	xenovorans	LB400T	Burkholderia xenovorans	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
